TransactionId	ASId	Ingress	Egress	PathletId	Bandwidth	Delay	Reliability	Status	Full Path
3862	0	000005	000004	0	12.0	4.0	0,876	true	[000005, 000000, 000001, 000002, 000004]
3863	0	000005	000004	1	6.0	4.0	0,832	true	[000005, 000000, 000001, 000002, 000006, 000003, 000004]
3864	0	000005	000004	2	6.0	4.0	0,782	true	[000005, 000000, 000001, 000002, 000006, 000003, 000007, 000004]
3865	0	000005	000004	3	12.0	4.0	0,849	true	[000005, 000000, 000001, 000002, 000006, 000004]
3866	0	000005	000004	4	12.0	4.0	0,824	true	[000005, 000000, 000001, 000002, 000007, 000003, 000004]
3867	0	000005	000004	5	6.0	4.0	0,824	true	[000005, 000000, 000001, 000002, 000007, 000003, 000006, 000004]
3868	0	000005	000004	6	12.0	4.0	0,823	true	[000005, 000000, 000001, 000002, 000007, 000004]
3869	0	000005	000004	7	39.0	8.0	0,866	true	[000005, 000000, 000001, 000004]
3870	0	000005	000004	8	37.0	6.0	0,807	true	[000005, 000000, 000001, 000007, 000002, 000004]
3871	0	000005	000004	9	6.0	4.0	0,767	true	[000005, 000000, 000001, 000007, 000002, 000006, 000003, 000004]
3872	0	000005	000004	10	17.0	4.0	0,782	true	[000005, 000000, 000001, 000007, 000002, 000006, 000004]
3873	0	000005	000004	11	22.0	4.0	0,824	true	[000005, 000000, 000001, 000007, 000003, 000004]
3874	0	000005	000004	12	6.0	4.0	0,767	true	[000005, 000000, 000001, 000007, 000003, 000006, 000002, 000004]
3875	0	000005	000004	13	6.0	4.0	0,824	true	[000005, 000000, 000001, 000007, 000003, 000006, 000004]
3876	0	000005	000004	14	37.0	8.0	0,823	true	[000005, 000000, 000001, 000007, 000004]
3877	0	000005	000004	15	11.0	4.0	0,884	true	[000005, 000000, 000003, 000004]
3878	0	000005	000004	16	6.0	4.0	0,798	true	[000005, 000000, 000003, 000006, 000002, 000001, 000004]
3879	0	000005	000004	17	6.0	4.0	0,758	true	[000005, 000000, 000003, 000006, 000002, 000001, 000007, 000004]
3880	0	000005	000004	18	6.0	4.0	0,823	true	[000005, 000000, 000003, 000006, 000002, 000004]
3881	0	000005	000004	19	6.0	4.0	0,735	true	[000005, 000000, 000003, 000006, 000002, 000007, 000001, 000004]
