0	1	1	0	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	0	0	1	0	0	0
0	0	0	1	0	1	1	0	0	0	0	0	0	0
0	0	1	0	1	0	0	0	0	1	0	0	1	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	1	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	1	0	1	0	1
0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	1	0	1	0	0	1
0	0	0	0	0	1	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1	0	1	1	1	0

0	85	55	0	0	0	0	95	0	0	0	0	0	0
85	0	85	95	0	0	0	0	0	0	0	0	0	0
55	85	0	0	0	75	0	0	0	0	0	0	0	0
0	95	0	0	90	0	0	0	0	0	70	0	0	0
0	0	0	90	0	55	95	0	0	0	0	0	0	0
0	0	75	0	55	0	0	0	0	85	0	0	75	0
0	0	0	0	95	0	0	70	0	0	0	0	0	0
95	0	0	0	0	0	70	0	80	0	0	0	0	0
0	0	0	0	0	0	0	80	0	100	0	75	0	60
0	0	0	0	0	85	0	0	100	0	0	0	0	0
0	0	0	70	0	0	0	0	0	0	0	90	0	95
0	0	0	0	0	0	0	0	75	0	90	0	0	55
0	0	0	0	0	75	0	0	0	0	0	0	0	80
0	0	0	0	0	0	0	0	60	0	95	55	80	0

0	8	4	0	0	0	0	7	0	0	0	0	0	0
8	0	4	1	0	0	0	0	0	0	0	0	0	0
4	4	0	0	0	6	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	0	0	3	0	0	0
0	0	0	1	0	5	2	0	0	0	0	0	0	0
0	0	6	0	5	0	0	0	0	8	0	0	4	0
0	0	0	0	2	0	0	8	0	0	0	0	0	0
7	0	0	0	0	0	8	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	9	0	5	0	7
0	0	0	0	0	8	0	0	9	0	0	0	0	0
0	0	0	3	0	0	0	0	0	0	0	3	0	8
0	0	0	0	0	0	0	0	5	0	3	0	0	1
0	0	0	0	0	4	0	0	0	0	0	0	0	7
0	0	0	0	0	0	0	0	7	0	8	1	7	0

0	997	996	0	0	0	0	997	0	0	0	0	0	0
997	0	995	997	0	0	0	0	0	0	0	0	0	0
996	995	0	0	0	996	0	0	0	0	0	0	0	0
0	997	0	0	998	0	0	0	0	0	997	0	0	0
0	0	0	998	0	995	997	0	0	0	0	0	0	0
0	0	996	0	995	0	0	0	0	996	0	0	995	0
0	0	0	0	997	0	0	997	0	0	0	0	0	0
997	0	0	0	0	0	997	0	997	0	0	0	0	0
0	0	0	0	0	0	0	997	0	998	0	998	0	997
0	0	0	0	0	996	0	0	998	0	0	0	0	0
0	0	0	997	0	0	0	0	0	0	0	997	0	996
0	0	0	0	0	0	0	0	998	0	997	0	0	995
0	0	0	0	0	995	0	0	0	0	0	0	0	996
0	0	0	0	0	0	0	0	997	0	996	995	996	0

0	15	13	0	0	0	0	17	0	0	0	0	0	0
15	0	20	15	0	0	0	0	0	0	0	0	0	0
13	20	0	0	0	11	0	0	0	0	0	0	0	0
0	15	0	0	13	0	0	0	0	0	13	0	0	0
0	0	0	13	0	16	13	0	0	0	0	0	0	0
0	0	11	0	16	0	0	0	0	11	0	0	17	0
0	0	0	0	13	0	0	11	0	0	0	0	0	0
17	0	0	0	0	0	11	0	18	0	0	0	0	0
0	0	0	0	0	0	0	18	0	17	0	20	0	11
0	0	0	0	0	11	0	0	17	0	0	0	0	0
0	0	0	13	0	0	0	0	0	0	0	11	0	19
0	0	0	0	0	0	0	0	20	0	11	0	0	19
0	0	0	0	0	17	0	0	0	0	0	0	0	12
0	0	0	0	0	0	0	0	11	0	19	19	12	0
