TransactionId	ASId	Ingress	Egress	PathletId	Bandwidth	Delay	Reliability	Status	Full Path
2915	0	000006	000000	0	5.0	1.0	0,280	true	[000006, 000000]
2916	0	000006	000000	1	8.0	2.0	0,023	true	[000006, 000001, 000002, 000000]
2917	0	000006	000000	2	7.0	1.0	0,000	true	[000006, 000001, 000002, 000003, 000004, 000005, 000000]
2918	0	000006	000000	3	6.0	1.0	0,000	true	[000006, 000001, 000002, 000003, 000004, 000005, 000008, 000000]
2919	0	000006	000000	4	7.0	1.0	0,000	true	[000006, 000001, 000002, 000003, 000004, 000007, 000000]
2920	0	000006	000000	5	7.0	2.0	0,000	true	[000006, 000001, 000002, 000003, 000007, 000000]
2921	0	000006	000000	6	9.0	2.0	0,000	true	[000006, 000001, 000002, 000003, 000007, 000004, 000005, 000000]
2922	0	000006	000000	7	6.0	2.0	0,000	true	[000006, 000001, 000002, 000003, 000007, 000004, 000005, 000008, 000000]
2923	0	000006	000000	8	6.0	2.0	0,001	true	[000006, 000001, 000002, 000003, 000008, 000000]
2924	0	000006	000000	9	11.0	2.0	0,000	true	[000006, 000001, 000002, 000003, 000008, 000005, 000000]
2925	0	000006	000000	10	7.0	2.0	0,000	true	[000006, 000001, 000002, 000003, 000008, 000005, 000004, 000007, 000000]
2926	0	000006	000000	11	7.0	1.0	0,000	true	[000006, 000001, 000002, 000004, 000003, 000007, 000000]
2927	0	000006	000000	12	6.0	1.0	0,000	true	[000006, 000001, 000002, 000004, 000003, 000008, 000000]
2928	0	000006	000000	13	7.0	1.0	0,000	true	[000006, 000001, 000002, 000004, 000003, 000008, 000005, 000000]
2929	0	000006	000000	14	9.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000005, 000000]
2930	0	000006	000000	15	6.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000005, 000008, 000000]
2931	0	000006	000000	16	7.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000005, 000008, 000003, 000007, 000000]
2932	0	000006	000000	17	7.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000007, 000000]
2933	0	000006	000000	18	6.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000007, 000003, 000008, 000000]
2934	0	000006	000000	19	11.0	2.0	0,000	true	[000006, 000001, 000002, 000004, 000007, 000003, 000008, 000005, 000000]
2935	0	000006	000000	20	9.0	2.0	0,002	true	[000006, 000001, 000002, 000005, 000000]
2936	0	000006	000000	21	7.0	1.0	0,000	true	[000006, 000001, 000002, 000005, 000004, 000003, 000007, 000000]
2937	0	000006	000000	22	6.0	1.0	0,000	true	[000006, 000001, 000002, 000005, 000004, 000003, 000008, 000000]
2938	0	000006	000000	23	7.0	2.0	0,000	true	[000006, 000001, 000002, 000005, 000004, 000007, 000000]
2939	0	000006	000000	24	6.0	2.0	0,000	true	[000006, 000001, 000002, 000005, 000004, 000007, 000003, 000008, 000000]
2940	0	000006	000000	25	6.0	2.0	0,001	true	[000006, 000001, 000002, 000005, 000008, 000000]
2941	0	000006	000000	26	7.0	1.0	0,000	true	[000006, 000001, 000002, 000005, 000008, 000003, 000004, 000007, 000000]
2942	0	000006	000000	27	7.0	2.0	0,000	true	[000006, 000001, 000002, 000005, 000008, 000003, 000007, 000000]
2943	0	000006	000000	28	7.0	2.0	0,004	true	[000006, 000001, 000002, 000007, 000000]
2944	0	000006	000000	29	7.0	1.0	0,000	true	[000006, 000001, 000002, 000007, 000003, 000004, 000005, 000000]
2945	0	000006	000000	30	6.0	1.0	0,000	true	[000006, 000001, 000002, 000007, 000003, 000004, 000005, 000008, 000000]
2946	0	000006	000000	31	6.0	2.0	0,001	true	[000006, 000001, 000002, 000007, 000003, 000008, 000000]
2947	0	000006	000000	32	8.0	2.0	0,000	true	[000006, 000001, 000002, 000007, 000003, 000008, 000005, 000000]
2948	0	000006	000000	33	6.0	1.0	0,000	true	[000006, 000001, 000002, 000007, 000004, 000003, 000008, 000000]
2949	0	000006	000000	34	7.0	1.0	0,000	true	[000006, 000001, 000002, 000007, 000004, 000003, 000008, 000005, 000000]
2950	0	000006	000000	35	8.0	2.0	0,000	true	[000006, 000001, 000002, 000007, 000004, 000005, 000000]
2951	0	000006	000000	36	6.0	2.0	0,000	true	[000006, 000001, 000002, 000007, 000004, 000005, 000008, 000000]
2952	0	000006	000000	37	6.0	2.0	0,006	true	[000006, 000001, 000002, 000008, 000000]
2953	0	000006	000000	38	7.0	1.0	0,000	true	[000006, 000001, 000002, 000008, 000003, 000004, 000005, 000000]
2954	0	000006	000000	39	7.0	1.0	0,000	true	[000006, 000001, 000002, 000008, 000003, 000004, 000007, 000000]
2955	0	000006	000000	40	7.0	2.0	0,000	true	[000006, 000001, 000002, 000008, 000003, 000007, 000000]
2956	0	000006	000000	41	9.0	2.0	0,000	true	[000006, 000001, 000002, 000008, 000003, 000007, 000004, 000005, 000000]
2957	0	000006	000000	42	11.0	2.0	0,001	true	[000006, 000001, 000002, 000008, 000005, 000000]
2958	0	000006	000000	43	7.0	1.0	0,000	true	[000006, 000001, 000002, 000008, 000005, 000004, 000003, 000007, 000000]
2959	0	000006	000000	44	7.0	2.0	0,000	true	[000006, 000001, 000002, 000008, 000005, 000004, 000007, 000000]
2960	0	000006	000000	45	8.0	3.0	0,010	true	[000006, 000001, 000003, 000002, 000000]
2961	0	000006	000000	46	9.0	3.0	0,000	true	[000006, 000001, 000003, 000002, 000004, 000005, 000000]
2962	0	000006	000000	47	6.0	2.0	0,000	true	[000006, 000001, 000003, 000002, 000004, 000005, 000008, 000000]
2963	0	000006	000000	48	7.0	3.0	0,000	true	[000006, 000001, 000003, 000002, 000004, 000007, 000000]
2964	0	000006	000000	49	9.0	2.0	0,001	true	[000006, 000001, 000003, 000002, 000005, 000000]
2965	0	000006	000000	50	7.0	2.0	0,000	true	[000006, 000001, 000003, 000002, 000005, 000004, 000007, 000000]
2966	0	000006	000000	51	6.0	2.0	0,000	true	[000006, 000001, 000003, 000002, 000005, 000008, 000000]
2967	0	000006	000000	52	7.0	3.0	0,002	true	[000006, 000001, 000003, 000002, 000007, 000000]
